date	param-Operations	value	success	cilo	cihi	units	complete
2014-05-16T21:12:01Z	100	34.915800000000004	true	-696.600	766.432	ms	"33.609 33.685 35.162 31.715 40.408"
2014-05-16T21:12:01Z	200	57.2736	true	-1308.470	1423.017	ms	"48.477 53.275 60.202 61.291 63.123"
2014-05-16T21:12:01Z	400	95.18820000000001	true	-858.124	1048.500	ms	"89.01 93.42 96.66 96.214 100.637"
2014-05-16T21:12:01Z	800	182.55020000000002	true	-2696.097	3061.197	ms	"171.314 174.09 175.315 190.369 201.663"
2014-05-16T21:12:01Z	1600	1247.107	true	-228823.119	231317.333	ms	"337.397 1337.74 1343.002 340.73 2876.666"
2014-05-16T21:12:01Z	3200	2375.9376	true	-444697.505	449449.381	ms	"653.276 655.41 1634.863 3730.194 5205.945"
2014-05-16T21:12:01Z	6400	5305.023999999999	true	-325015.745	335625.793	ms	"5257.612 6803.293 6814.221 3783.942 3866.052"
2014-05-16T21:12:01Z	12800	7819.406599999999	true	-668937.848	684576.661	ms	"4156.614 6832.372 10149.654 6251.054 11707.339"
2014-05-16T21:12:01Z	25600	8821.0342	true	-512988.698	530630.766	ms	"6216.923 7207.96 8257.252 10469.145 11953.891"
2014-05-16T21:12:01Z	51200	21358.0062	true	-1282477.225	1325193.237	ms	"16093.226 17497.337 19518.193 22798.415 30882.86"
2014-05-16T21:12:01Z	102400	50968.14200000001	true	-1319366.764	1421303.048	ms	"52328.444 52577.827 59113.815 42189.067 48631.557"
