date	param-Operations	value	success	cilo	cihi	units	complete
2014-05-16T21:12:01Z	100	60.91479999999999	true	-1424.049	1545.879	ms	"51.632 60.372 65.461 58.124 68.985"
2014-05-16T21:12:01Z	200	108.83800000000001	true	-1480.762	1698.438	ms	"99.357 111.437 118.476 104.912 110.008"
2014-05-16T21:12:01Z	400	193.6694	true	-1298.006	1685.345	ms	"183.719 192.525 202.209 193.339 196.555"
2014-05-16T21:12:01Z	800	357.84939999999995	true	-5698.648	6414.347	ms	"366.699 377.565 380.306 313.337 351.34"
2014-05-16T21:12:01Z	1600	689.4684	true	-21169.023	22547.960	ms	"629.477 705.273 855.264 616.812 640.516"
2014-05-16T21:12:01Z	3200	1574.8136	true	-142597.253	145746.880	ms	"1159.969 1371.396 1385.502 1229.682 2727.519"
2014-05-16T21:12:01Z	6400	2511.8669999999997	true	-32012.416	37036.150	ms	"2571.814 2591.549 2680.469 2282.091 2433.412"
2014-05-16T21:12:01Z	12800	4880.9878	true	-42084.228	51846.204	ms	"4803.923 4983.519 5194.535 4648.747 4774.215"
2014-05-16T21:12:01Z	25600	9559.754400000002	true	-61235.139	80354.647	ms	"9661.203 9773.159 9881.815 9088.26 9394.335"
2014-05-16T21:12:01Z	51200	18844.1018	true	-118740.369	156428.573	ms	"19241.141 19308.168 19342.533 18162.569 18166.098"
2014-05-16T21:12:01Z	102400	38167.3222	true	-255784.377	332119.021	ms	"38896.967 39110.431 39320.903 36361.357 37146.953"
