date	param-Operations	value	success	cilo	cihi	units	complete
2014-05-16T08:46:02Z	100	156.22	true	-681183543.034	681183855.474	ms	"156.113 156.327"
2014-05-16T08:46:02Z	200	293.2525	true	-80274633872.548	80274634459.053	ms	"280.643 305.862"
2014-05-16T08:46:02Z	400	509.4105	true	-98755720375.397	98755721394.218	ms	"493.898 524.923"
2014-05-16T10:15:48Z	100	69.154	true	-10752516454.581	10752516592.889	ms	"67.465 70.843"
2014-05-16T10:15:48Z	200	145.12	true	-127807887202.721	127807887492.961	ms	"125.044 165.196"
2014-05-16T10:15:48Z	400	288.7255	true	-356122201060.875	356122201638.326	ms	"232.786 344.665"
2014-05-16T10:15:48Z	800	1305.018	true	-5039237850704.580	5039237853314.615	ms	"513.457 2096.579"
2014-05-16T10:15:48Z	1600	1110.1705	true	-195744819383.341	195744821603.682	ms	"1079.423 1140.918"
2014-05-16T10:15:48Z	3200	2372.0114999999996	true	-1250452734069.843	1250452738813.866	ms	"2175.591 2568.432"
2014-05-16T10:15:48Z	6400	4643.839	true	-1873509816415.946	1873509825703.624	ms	"4349.549 4938.129"
2014-05-16T10:15:48Z	12800	10702.142	true	-615885546465.236	615885567869.519	ms	"10605.399 10798.885"
2014-05-16T10:15:48Z	25600	24092.896	true	-5170559859208.358	5170559907394.151	ms	"23280.707 24905.085"
2014-05-16T10:15:48Z	51200	53609.1795	true	-26546489467545.125	26546489574763.484	ms	"49439.27 57779.089"
2014-05-16T10:15:48Z	102400	95085.638	true	-12689019826383.172	12689020016554.450	ms	"93092.453 97078.823"
2014-05-16T17:20:00Z	100	88.37650000000001	true	-160972620729.209	160972620905.962	ms	"63.091 113.662"
2014-05-16T17:20:00Z	200	169.1375	true	-141835815041.374	141835815379.649	ms	"146.858 191.417"
2014-05-16T17:20:00Z	400	263.17650000000003	true	-16892718858.038	16892719384.391	ms	"260.523 265.83"
2014-05-16T17:20:00Z	800	1301.965	true	-4445322059391.892	4445322061995.821	ms	"603.696 2000.234"
2014-05-16T17:20:00Z	1600	1007.0755	true	-87258357626.775	87258359640.926	ms	"993.369 1020.782"
2014-05-16T17:20:00Z	3200	2292.346	true	-704401238561.240	704401243145.932	ms	"2181.699 2402.993"
2014-05-16T17:20:00Z	6400	4653.529500000001	true	-4670771578783.542	4670771588090.601	ms	"3919.847 5387.212"
2014-05-16T17:20:00Z	12800	8804.3595	true	-6108482983239.994	6108483000848.713	ms	"7844.842 9763.877"
2014-05-16T17:20:00Z	25600	18129.1325	true	-2919467373134.841	2919467409393.106	ms	"17670.544 18587.721"
2014-05-16T17:20:00Z	51200	37462.3575	true	-3747493886765.575	3747493961690.290	ms	"36873.703 38051.012"
2014-05-16T17:20:00Z	102400	105112.16500000001	true	-54191912863973.920	54191913074198.250	ms	"96599.726 113624.604"
